open_covid_region_code,date,hospitalized_new
US-NH,2021-01-25,3.0
US-NH,2021-02-01,4.0
US-NH,2021-02-08,3.0
US-NH,2021-02-15,4.0
US-NH,2021-02-22,11.0
US-NH,2021-03-01,7.0
US-NH,2021-03-08,4.0
US-NJ,2020-07-13,0.0
US-NJ,2020-07-20,0.0
US-NJ,2020-07-27,0.0
US-NJ,2020-08-03,0.0
US-NJ,2020-08-10,0.0
US-NJ,2020-08-17,0.0
US-NJ,2020-08-24,0.0
US-NJ,2020-08-31,0.0
US-NJ,2020-09-07,0.0
US-NJ,2020-09-14,0.0
US-NJ,2020-09-21,0.0
US-NJ,2020-09-28,0.0
US-NJ,2020-10-05,0.0
US-NJ,2020-10-12,0.0
US-NJ,2020-10-19,0.0
US-NJ,2020-10-26,17197.0
US-NJ,2020-11-02,853.0
US-NJ,2020-11-09,687.0
US-NJ,2020-11-16,530.0
US-NJ,2020-11-23,574.0
US-NJ,2020-11-30,396.0
US-NJ,2020-12-07,395.0
US-NJ,2020-12-14,432.0
US-NJ,2020-12-21,250.0
US-NJ,2020-12-28,251.0
US-NJ,2021-01-04,427.0
US-NJ,2021-01-11,214.0
US-NJ,2021-01-18,242.0
US-NJ,2021-01-25,179.0
US-NJ,2021-02-01,169.0
US-NJ,2021-02-08,167.0
US-NJ,2021-02-15,167.0
US-NJ,2021-02-22,197.0
US-NJ,2021-03-01,233.0
US-NJ,2021-03-08,203.0
US-NM,2020-08-03,0.0
US-NM,2020-08-10,0.0
US-NM,2020-08-17,0.0
US-NM,2020-08-24,0.0
US-NM,2020-08-31,0.0
US-NM,2020-09-07,0.0
US-NM,2020-09-14,258.0
US-NM,2020-09-21,154.0
US-NM,2020-09-28,175.0
US-NM,2020-10-05,202.0
US-NM,2020-10-12,97.0
US-NM,2020-10-19,253.0
US-NM,2020-10-26,178.0
US-NM,2020-11-02,172.0
US-NM,2020-11-09,136.0
US-NM,2020-11-16,121.0
US-NM,2020-11-23,105.0
US-NM,2020-11-30,137.0
US-NM,2020-12-07,199.0
US-NM,2020-12-14,177.0
US-NM,2020-12-21,178.0
US-NM,2020-12-28,161.0
US-NM,2021-01-04,135.0
US-NM,2021-01-11,119.0
US-NM,2021-01-18,73.0
US-NM,2021-01-25,86.0
US-NM,2021-02-01,55.0
US-NM,2021-02-08,92.0
US-NM,2021-02-15,72.0
US-NM,2021-02-22,100.0
US-NM,2021-03-01,114.0
